ulasan,sentiment
"Kenapa kasih rate jelek? :( Developer ini membantu kita utk mempermudah dlm daur ulang, kalau ada masalah dgn aplikasi bisa contact via WA (saya selalu direspon, walaupun memang kadang slow res). Dan cara kita request itu memang by WA baru nanti Picker datang menjemput, nah di lokasi nanti SDU akan ditimbang lalu jumlahnya dimasukan ke aplikasi. Memang masih manual dan aplikasi belum 100% sempurna, tapi developer ini lebih banyak membantu daripada merugikannya. Lebih sabar, lebih baik. :)",1
"Saya merasa bahwa aplikasi berjalan dengan lambat ketika masuk pada penentuan lokasi pengambilang brg. Pada saat klik cek ketentuan sampah juga tidak tertulis apa-apa. Kemudian dr segi ui dan ux, masih kurang. Desain icon, card product, serta font masih harus diperbaiki. Menu navigator juga terasa padat. Sbg pengguna yg pertama kali pakai, melihat aplikasi sudah membuat mata lelah saking padatnya layout. Saya menantikan perbaikan aplikasi lebih baik lagi",-1
"aku baru download sih.... msh blm genap 3kg. tp aku senang ada aplikasi kayak gini. terbantu banget, smg kedepannya makin byk org membiasakan memilah sampah dirumahnya, dan tdk membuang sampah sembarangan.",1
"Aplikasinya keren bisa membantu supaya dapat didaur ulang & dapat duit juga dr sampah yg kita punya, penting prosesnya selalu aman, ramah & cepat. Buat saran aja untuk kaleng2, palstik2 semoga bisa diangkut & di duitin juga..!!!",1
"Sangat berharap bisa buka app ini, tp setelah log in applikasi selalu tiba"" keluar sendiri. gak ngerti knp, udh dicoba dihp lain dgn akun yg sama tp tetap langsung keluar sendiri appnya.",1
"Sering nya nggak ada yg pick up, jadi kita harus chat langsung via WA ke CS Duitin. Tapi overall, aplikasinya tetap bisa berfungsi (untuk ngitung jumlah dan nilai dari sampah kita, baca artikel, dll)",1
"Gak bisa registnya, ketika telephone masuk otomatis sinyal 4G/internet saya berhenti, ketika saya matikan panggilannya dan sinyalnya ada lagi tetep aja gak bisa walaupun udh ketik 4 digit terakhir nomor telephonenya. Saya pake Indosat. Coba cari solusinya min.",-1
"Aplikasinya bagus, semoga secepatnya bisa dikembangkan ke seluruh daerah di Indonesia dan semoga kedepannya juga menerima baju bekas yg tak layak pakai/kain kain bekas. Sukses terusss duitin",1
Harga sampah plastiknya terlalu murah banget. Semakin banyak malah jadi murah alias gk konsisten dari harga awal 2.400/2kg. Itu jug minimal 2kg berat sampahnya. Lebih enak dijual ke tengkulak langsung. Mereka berani dengan harga yg lebih mahal walaupun ini barang daur ulang dan harga receh.,-1
"Memutuskan untuk meng-uninstall aplikasi ini. Aplikasi ga bisa nemuin picker, chat admin di WA jg no respon. Sebaiknya kalau ga bisa menjangkau area secara maksimal, ya minimal pelayanannya bagus gitu loh.",-1
"Pertama order tahun 2021 berhasil . Meskipun lama sekali dapat picker Kedua order di tahun 2022 di janjikan terus tgl 7 akan di pick up tapi tidak kunjung di pick up . Hingga tgl 9 , alasan penuh , alasan cuaca dan tidak ada respon kalau tidak di tanya . Semoga bisa di perbaiki lagi sistemnya",-1
"kasih bintang 5 nya nanti kalau app ini bakal memperluas area cakupan picker, seneng banget ada app kaya gini yang secara tidak langsung menyadarkan sekaligus membuat kebiasaan kecil bagi keluarga indonesia aamiin.. semoga terus berkembang dan ada picker di seluruh indonesia ya :) unlucky di daerahku belum ada :')",1
"Duitin, produk layanan jemput sampah yg kekinian dan sangat luar biasa, hadir di CIAMIS dan bisa melayani ke daerah di sekitarnya, Kota Tasikmalaya, Kab. Tasikmalaya, Banjar, Pangandaran, kuningan dan majalengka.. Yuks... segera..donlod aplikasi Duitin.. biar dapat duit",1
"Applikasinya sangat bagus .., tapi sayang setelah melakukan pendaftaran ternyata applikasinya tidak dapat berjalan ( cuman Layar Biru saja ). Jadi mohon tindak lanjutnya... sebab ini masih wilayah Jakarta... Terima Kasih Sebelumnya",-1
"Aplikasi yang bagus, namun saya belum bisa memakainya karena cakupan wilayahnya masih terbatas. Saya harap kedepannya dapat mencakup seluruh wilayah di Indonesia, bukan hanya di kota-kota besar saja. (*Tambahan mohon developer menambahkan daerah Mojokerto, Jawa Timur) hehehe ✌️😁",1
"Pada saat mau memasukan kode OTP yang dikatakan 4 nomor terakhir dari penelpon. Ternyata setelah dimasukkan malah dibilang ""terjadi kesalahan, coba beberapa saat lagi"" seperti itu terus, apakah karena aplikasi ini belum tersedia di daerah saya kalimatan selatan? Padahal aplikasinya bagus menurut saya. Tapi saya mohon, pengembangan untuk aplikasinya lebih dipercepat.",-1
"Hi aplikasi DUITIN, kalau bisa area cangkupannya di perluas jangan daerah Tangerang Selatan saja tapi Kota Tangerang juga, jujur apk ini sangat keren karena banyak dampak positifnya terutama buat lingkungan, saya dukung apk ini untuk menciptakan Indonesia yang lebih bersih lagi.",1
"Saya gagal terus ketika update Profil. setelah isi PIN ada pertanyaan yakin dengan pin, tombol ya tidak dapat diklik. Hanya tombol ya saja. Ini sy mencoba di dua jaringan WiFi home dan jaringan di ponsel.",1
"Aplikasi ini sangat bagus. Sangat membantu untuk memilih sampah yang baik sehingga dapat di daur ulang. Dan tidak terjadi penumpukan sampah. Tetapi area cakupan nya belum tersedia di kota saya, yaitu Balikpapan. Saya harap kedepannya bisa segera di pick up di Balikpapan.",1
"Aplikasi yg sangat bagus untuk membantu melindungi indonesia dari sampah. Tapi, kenapa duitin picker tidak tersedia di semua daerah di indonesia? Saya dari sulawesi tenggara, Kalau sudah ada duitin picker di sulawesi tenggara khususnya kendari, wawotobi, dan unaaha nanti saya kembali buat ubah bintangnya😉😁 terima kasih",0
"Aplikasinya bagus bgtt, keren! TAPI saat dicoba, teryata untuk wilayah Bandung belum ada kak.. Mohon sekali untuk segera disediakan.. nanti saya ubah bintangnya jika sudah tersedia",0
"Aq dpt rekomendasi apps ini dr sosmed gt, bagus banget ini, aq emng tinggal didaerah yg bukan kota besar, tapi apps ini pikir ku sangat bermanfaat banget, pengen bgt bisa ada picker duitin di KLATEN juga. segera realisasikan yuks, klo misal ada yg mau kerja sama sebagai picker buat orang2 didaerah yg bukan kota besar gt gmn ya?? Biar apps ini berguna, jgn sampe orang pedalaman nggak update sama inovasi kyk gini, demi bumi yg lbh sehat lagi, semangaaaat nnt klo dah lbh baik saya ganti bintangnya",0
Sudah memasukan kode verifikasi 4 digit terakhir pada nomor telepon dan tidak diangkat juga namun tetap gagal ketika mencoba mendaftar. Saya mohon segera diperbaiki masalahnya sebab aplikasi ini merupakan sebuah inovasi yang hadir di masyarakat. Sukses selalu ditunggu perbaikan sistemnya. Terimakasih,-1
Untuk botol kaca sangat disayangkan hanya jenis2 tertentu yg bisa di terima sedang bekas minuman energy drink gak mau. Padahal ini sangat berpotensi dan banyak dibuang menjadi sampah di selokan. Jikalau daur ulang tentunya tetap bisa di lebur kembali. Sedang botol2 yg besar harga tertera sangat murah dibandingkan harga pengepul di hitung satuan sekitar 500/btl. Dan untuk jenis kaleng sayang masih belum bisa diterima. Ini juga sangat berpotensi. Sebab menjadi limbah rumah tangga juga yg banyak.,1
"Gimana sih, di suruh masukin kode otp lewat sms gak ada sms yang masuk sudah berkali kali, di kira karena sinyal kartu nya yang jelek coba pake yang lain, yang sinyal nya lebih kuat, tetep gak ada sms masuk sudah berkali kali.",0
"Saya baru aja download aplikasi ""duitin"" ini Belum kepake soalnya melihat area cakupannya ternyata belum sampe Jogja Ide atau inovasi ini cukup bagus seiring dengan digitalisasi yang terus berkembang dan mengingat kuantitas sampah yang ada di Indonesia cukup tinggi. Semoga ide ini terus tumbuh & berkembang serta area cakupannya semakin meluas apalagi di kota-kota besar seperti Jogja, Bandung, Jawa Timur, dsb.",1
"halo kak, wah aku seneng banget nih ada aplikasi buat pick up sampah untuk di daur ulang, karena aku sudah lama sekali ingin di indonesia itu sama seperti negara lainnya yg menerapkan pembuangan sampah sesuai jenis jenis nya agar dapat di daur ulang, aku lagi nunggu nih coming soon yg di Palembang, Sukses dan Semoga dilancarkan segala kegiatannya kak 🙌🙌",1
"Halo team duitin, sebelumnya apresiasi sekaliii sama aplikasi ini. You guys did a great job! Jadi ceritanya Pas awal instal, susah banget otp masuk. Di Minggu ke 2 nyoba lagi Alhamdulillah lancar jaya. Skrg mau coba recycle nih, tapi picker nya ga dapet2 yaa jadi batal terus.. ada saran? Lokasi : Jatisampurna Bekasi. Hatur nuhun sebelumnya..🙏",1
Saya tertarik instal apk duitin selain menguntungkan dpt reward juga berdampak pada lingkungan agar tetap bersih. Namun sayang daerah depok belum dibuka cabang akhirnya sya uninstall apk duitin. Tapi saya berharap apk duitin dpt membuka cabang seluruh Indonesia agar dapat merasakan keuntungan memiliki apk ini #gerakandaurulang #bersihbumikita,1
"Ini kenapa pas mau masukin profil data alamat bisa masukin foto diri bisa foto ktp aja bisa, dan pas foto diri dan ktp malah apk nya keluar sendiri.. mau nya apa sih sebel deh saya udh ngumpulin minyak nya kalo gk ngisi profil kan blm bisa narik nanti ngeselin allahu",-1
"tolong segera di perbaiki saya mengalami crash ketika melengkapi data diri (waktu saat selfie) segala fitur di apk sudah bagus, tetapi saya mengalami hambatan dibagian ini dah membuat saya tidak nyaman",-1
"saya beri 4 bintang dulu ya. apkilasi bagus untuk bangsa & masyarakat , sayangnya di daerah saya belum bisa di pakai (tuban, jawa timur).. semoga selanjutnya bisa di luaskan area cakupan, hingga per kecamatan ada petugas DUITIN, seperti jasa² ekspedisi sekarang.",1
"Untuk kode OTP 4 digit angka terakhir tidak bisa, sudah di coba berkali"" Dan berulang kirim ulang kode OTP nya tetep saja tidak sesuai kode nya,saran saja kode verifikasinya melalui sms saja tidak usah pakai nomor belakang 4 digit.. mohon di perbaiki sistemnya supaya bisa lebih baik lagi aplikasinya..",-1
"saya sangat tertarik dengan apk ini, saya ingin daftar, tapi pada saat saya klik kolom daftar di aplikasi ini malah keluar dari aplikasi Duitin nya,saya sudah mencoba beberapa kali tapi masih tetap tidak bisa, mohon untuk kreator nya lebih semangat lagi untuk memperbaiki kekurangan dari aplikasi ini. trimakasih",1
"Aplikasinya bagus, dengan ini saya bisa menghasilkan uang hanya dengan mengumpulkan dan menjual sampah. Tapi saat pengisian domilisi, kecamatan Bekasi Utara tidak ada. Jadi saya tidak bisa mengisi domilisinya dan lama sekali menunggu Duitin pickernya untuk mengambil sampah di rumah saya, dari kemarin sudah saya tungguin ga dateng²",1
"Halo admin,saya akan coba semoga bagus dan bisa sesuai harapan, Saya sudah berhasil logon tetapi ada kendala .kenapa saat melengkapi profil yg bisa di isi hana alamat sama kode pos, Yang lainya ga bisa di isi,coba lanjut tidak mau juga. Terus rincian harga dari masing2 jenis limbah tida ada rincianya. Dan untuk jenis beling 2 /pecahan kaca terima ga",0
aplikasi ini sangat membantu sekai... mudah digunakan... adminnya ramah sekali.. sekarang saya tidak khawatir lagi soal sampah karna sudah ada aplikasi duitin.. terimakasih duitin...,1
"Harus coba sih aplikasi ini, ga perlu bingung mau diapain lagi popok bekas pakai, buku buku yang ga dipakai, kardus kardus, botol plastik, bahkan minyak jelantah. Kirim aja ke Duitin ehehe, admin nya fast respon dan ramah banget juga. Saya baru pertama kali coba pakai ini, tp belum kecewa. Semoga bisa bermanfaat untuk pelestarian lingkungan ya, terima kasih Duitin.",1
"Saya sudah mendaftar dan memasukkan nomor yang benar, kenapa saya tidak mendapatkan kode OTP? Setiap ingin daftar ada nomor masuk, mungkin itu dari pihak DUITIN yang ingin memberikan kode OTP nya, tetapi setiap saya angkat tlponnya langsung mati, mohon dari pihak DUITIN untuk mempermudah pendaftaran:)",0
Saya senang dengan adanya aplikasi kayak ini tp daerah palembang blm tersedia jd saat ini saya blm bisa pake apli ini tapi semangat ya agar apli ini dapat membantu seluruh indonesia ya!!,1
"Kode OTp gak muncul2 padahal udah berulang kali,, sehingga membuat saya gagal bisa daftr di aplikasi ini, mohon di perbaiki para kreator, dan semoga cakupan daerahnya sampai ke medan dan kota kecil sekelilingnnya",-1
"edit, udah install berapa kali pun tetep ga bisa, selalu masalah nya di kode otp. Ga bisa di verifikasi, udah chat admin nya jg tetep g bisa, dah la cape.",-1
Aplikasi nya sudah Saya Download Tapi Masih Ada Yg kurang dala Aplikasi nya Y itu daerah Kota asal saya Gk ada Di situ Saya dari (BANGKA) Tolong di Tambahkan y kak Agar saya Juga Bisa memakai Aplikasi nya Dan Bisa Berbagi kebersihan lewat aplikasi ini 🤗,1
"Aplikasi yg bagus. Semoga semakin menyadarkan kita untuk mulai memilah sampah, bahkan mengurangi sampah. Semoga semakin banyak daerah yg bisa dilayani, sampah yg bisa diolah juga makin banyak. Semangat!",1
Min saya mau dapet kode otp tapi pas saya angkat telfonnya terus baru 1 detik nih ya langsung mati padahal itu ga ada suara apa apa dari telfon itu tolong kasih tau kok bisa kaya gitu ya oke terimakasih,1
"Salut banget sama pihak duitin. Inovasinya keren banget, orang2 yg ingin mendapat reward mau ga mau harus bisa misahin sampah. Tujuan duitin untuk mempermudah daur ulang sampah keren banget. Aplikasi ini bisa berkembang lebih baik kalau ada suntikan dana. Jadi mohon bersabar nih temen2 yg daerahnya mungkin belum bisa untuk dipick-up sampahnya. Perhatiin juga gimana cara daftarnya, jangan terburu-buru, yg teliti. Kalau niatmu cepet dapet uang aja, kamu ga akan puas 👍",1
Menurutku aplikasinya sangat bagus.. tapi sayang banget gk sampe di kalimantan dan saya udh download apk ini.. Semoga bisa sampe ke kalimantan..,1
"Saya antusias sama aplikasi seperti ini karena sangat berkontribusi untuk menjaga lingkungan. Namun saat saya sudah download dan melihat area cakupan, jawa barat (cimahi) tidak ada dalam cakupan itu bagaimana ya?",1
